Daryan the Legendary Tailor had slain Bersh the pilferer#November 11, 2025 at 14:59
Daryan the Legendary Tailor had slain Annette the nomad#November 11, 2025 at 14:59
Daryan the Legendary Tailor had slain Kalimus the magician of elements#November 11, 2025 at 14:59
Daryan the Legendary Tailor had slain Standford the hunter#November 11, 2025 at 14:59
Daryan the Legendary Tailor had slain a gazer#November 11, 2025 at 14:58
Daryan the Legendary Tailor had slain Nalini the bard#November 11, 2025 at 14:58
Daryan the Legendary Tailor had slain a gazer#November 11, 2025 at 14:57
Daryan the Legendary Tailor had slain Banothil the conjurer of hysteria#November 11, 2025 at 14:57
Daryan the Legendary Tailor had slain Banothil the mage of the forest#November 11, 2025 at 14:56
Daryan the Legendary Tailor had slain Crandall the musician#November 11, 2025 at 14:55
Daryan the Legendary Tailor had slain Zejron the warlock of elements#November 11, 2025 at 14:55
Daryan the Legendary Tailor had slain Barrett the hunter#November 11, 2025 at 14:54
Daryan the Legendary Tailor had slain a whipping vine#November 11, 2025 at 14:53
Daryan the Legendary Tailor had slain a tarantula#November 11, 2025 at 14:52
Daryan the Legendary Tailor had slain an anhkheg#November 11, 2025 at 14:51
Daryan the Legendary Tailor had slain an ettin#November 11, 2025 at 14:51
Daryan the Legendary Tailor had slain a weed elemental#November 11, 2025 at 14:50
Daryan the Legendary Tailor had slain Lagduf the hill giant#November 11, 2025 at 14:49
Daryan the Legendary Tailor had slain an ettin#November 11, 2025 at 14:46
Daryan the Legendary Tailor had slain a dire wolf#November 11, 2025 at 14:46
Shadow the Expert Thief had slain a fire elemental#November 11, 2025 at 14:43
Shadow the Adept Thief had slain a shadow iron elemental#November 11, 2025 at 14:33
Shadow the Adept Thief had slain an elder gazer#November 11, 2025 at 14:32
Shadow the Adept Thief had slain an elder gazer#November 11, 2025 at 14:31
Shadow the Adept Thief had slain an elder gazer#November 11, 2025 at 14:30
Daryan the Legendary Tailor had slain a haunt#November 11, 2025 at 14:29
Shadow the Adept Thief had slain a lava elemental#November 11, 2025 at 14:29
Shadow the Adept Thief had slain a dull copper elemental#November 11, 2025 at 14:28
Shadow the Adept Thief had slain an air elemental#November 11, 2025 at 14:28
Daryan the Legendary Tailor had slain a spectre#November 11, 2025 at 14:27
Lars the Grandmaster Fencer had slain a baby dragon#November 11, 2025 at 14:26
Daryan the Legendary Tailor had slain a ghoul#November 11, 2025 at 14:26
Lars the Grandmaster Fencer had slain a baby dragon#November 11, 2025 at 14:26
Shadow the Adept Thief had slain a drake#November 11, 2025 at 14:26
Lars the Grandmaster Fencer had slain a draguul#November 11, 2025 at 14:25
Shadow the Adept Thief had slain a dragoon#November 11, 2025 at 14:25
Shadow the Adept Thief had slain a shadow iron elemental#November 11, 2025 at 14:24
Lars the Grandmaster Fencer had slain Saburu the drakkul chieftain#November 11, 2025 at 14:24
Lars the Grandmaster Fencer had slain a baby dragon#November 11, 2025 at 14:24
Shadow the Adept Thief had slain a copper elemental#November 11, 2025 at 14:23
