Mago de Ouro the Legendary Wizard had slain a demonic ghost#November 9, 2025 at 09:49
Mago de Ouro the Legendary Wizard had slain a spectre#November 9, 2025 at 09:48
Mago de Ouro the Legendary Wizard had slain a spectre#November 9, 2025 at 09:48
Mago de Ouro the Legendary Wizard had slain a spectre#November 9, 2025 at 09:48
Mago de Ouro the Legendary Wizard had slain a wraith#November 9, 2025 at 09:48
Mago de Ouro the Legendary Wizard had slain a dryad#November 9, 2025 at 09:47
Mago de Ouro the Legendary Wizard had slain a gnome magician#November 9, 2025 at 09:41
Raja Ampat the Legendary Archmage had slain an ice golem#November 9, 2025 at 08:42
Raja Ampat the Legendary Archmage had slain an ice golem#November 9, 2025 at 08:42
Raja Ampat the Legendary Archmage had slain an ice serpent#November 9, 2025 at 08:42
Raja Ampat the Legendary Archmage had slain Shandra the ice queen#November 9, 2025 at 08:42
Raja Ampat the Legendary Archmage had slain Iolana the ice queen#November 9, 2025 at 08:42
Raja Ampat the Legendary Archmage had slain an ice golem#November 9, 2025 at 08:40
Raja Ampat the Legendary Archmage had slain an ice golem#November 9, 2025 at 08:40
Raja Ampat the Legendary Archmage had slain an arctic ettin#November 9, 2025 at 08:40
Raja Ampat the Legendary Archmage had slain a snow elemental#November 9, 2025 at 08:40
Raja Ampat the Legendary Archmage had slain an arctic ettin#November 9, 2025 at 08:40
Raja Ampat the Legendary Archmage had slain an arctic ettin#November 9, 2025 at 08:39
Raja Ampat the Legendary Archmage had slain Abvir the frost giant#November 9, 2025 at 08:39
Raja Ampat the Legendary Archmage had slain a snow elemental#November 9, 2025 at 08:39
Raja Ampat the Legendary Archmage had slain an ice golem#November 9, 2025 at 08:39
Raja Ampat the Legendary Archmage had slain a snow elemental#November 9, 2025 at 08:39
Raja Ampat the Legendary Archmage had slain a frozen corpse#November 9, 2025 at 08:39
Raja Ampat the Legendary Archmage had slain a frozen corpse#November 9, 2025 at 08:39
Raja Ampat the Legendary Archmage had slain an icy ghoul#November 9, 2025 at 08:39
