Menelif the Elder Elementalist had slain an orchid dracon#November 8, 2025 at 06:56
Menelif the Elder Elementalist had slain a minotaur warrior#November 8, 2025 at 06:56
Menelif the Elder Elementalist had slain a ravenous#November 8, 2025 at 06:52
Menelif the Elder Elementalist had slain an ophidian matriarch#November 8, 2025 at 06:52
Menelif the Elder Elementalist had slain a gargoyle#November 8, 2025 at 06:51
Menelif the Elder Elementalist had slain Clitheret the lava daemon#November 8, 2025 at 06:51
Konrad Curze the Legendary Duelist had slain an ifreet#November 8, 2025 at 06:38
Konrad Curze the Legendary Duelist had slain a hell lion#November 8, 2025 at 06:38
Konrad Curze the Legendary Duelist had slain a fire steed#November 8, 2025 at 06:37
Konrad Curze the Legendary Duelist had slain a skeletal pyromancer#November 8, 2025 at 06:37
Konrad Curze the Legendary Duelist had slain a lava elemental#November 8, 2025 at 06:37
Konrad Curze the Legendary Duelist had slain Lor-wis-lem the gargoyle#November 8, 2025 at 06:37
Konrad Curze the Legendary Duelist had slain an ifreet#November 8, 2025 at 06:37
Konrad Curze the Legendary Duelist had slain a fire beetle#November 8, 2025 at 06:37
Konrad Curze the Legendary Duelist had slain an ifreet#November 8, 2025 at 06:37
Konrad Curze the Legendary Duelist had slain an undead flamecaster#November 8, 2025 at 06:37
Konrad Curze the Legendary Duelist had slain Azalin the lich#November 8, 2025 at 06:37
Konrad Curze the Legendary Duelist had slain a magma snake#November 8, 2025 at 06:37
Konrad Curze the Legendary Duelist had slain an ifreet#November 8, 2025 at 06:37
Konrad Curze the Legendary Duelist had slain a bone demon#November 8, 2025 at 06:36
Konrad Curze the Legendary Duelist had slain a bone demon#November 8, 2025 at 06:36
Konrad Curze the Legendary Duelist had slain a firebone warrior#November 8, 2025 at 06:36
Konrad Curze the Legendary Duelist had slain a firebone warrior#November 8, 2025 at 06:36
Konrad Curze the Legendary Duelist had slain a firebone warrior#November 8, 2025 at 06:36
Konrad Curze the Legendary Duelist had slain a skeletal pyromancer#November 8, 2025 at 06:35
Konrad Curze the Legendary Duelist had slain a fire beetle#November 8, 2025 at 06:35
Konrad Curze the Legendary Duelist had slain a skeletal pyromancer#November 8, 2025 at 06:35
Konrad Curze the Legendary Duelist had slain an ifreet#November 8, 2025 at 06:35
Konrad Curze the Legendary Duelist had slain a hell lion#November 8, 2025 at 06:35
Konrad Curze the Legendary Duelist had slain a hell hound#November 8, 2025 at 06:35
Konrad Curze the Legendary Duelist had slain a firebone warrior#November 8, 2025 at 06:32
Konrad Curze the Legendary Duelist had slain a firebone warrior#November 8, 2025 at 06:32
Konrad Curze the Legendary Duelist had slain Lavanderaaste the drow wizard of fire#November 8, 2025 at 06:31
Konrad Curze the Legendary Duelist had slain Myrue the drow sorceress of fire#November 8, 2025 at 06:31
Konrad Curze the Legendary Duelist had slain a lava puddle#November 8, 2025 at 06:31
Konrad Curze the Legendary Duelist had slain Luaqualyn the drow conjurer of flame#November 8, 2025 at 06:31
Konrad Curze the Legendary Duelist had slain Elvanafae the drow witch of fire#November 8, 2025 at 06:31
Konrad Curze the Legendary Duelist had slain Imdorl the drow mage of fire#November 8, 2025 at 06:31
Konrad Curze the Legendary Duelist had slain Elvanjss the drow wizard of fire#November 8, 2025 at 06:31
Konrad Curze the Legendary Duelist had slain Relonolg the drow monk#November 8, 2025 at 06:31
Konrad Curze the Legendary Duelist had slain Phaerdril the drow witch of the flame#November 8, 2025 at 06:31
Konrad Curze the Legendary Duelist had slain Zaknoyn the drow magician of fire#November 8, 2025 at 06:31
Konrad Curze the Legendary Duelist had slain Veszhrys the drow mage of the flame#November 8, 2025 at 06:31
Konrad Curze the Legendary Duelist had slain Sorntrin the drow warlock of flame#November 8, 2025 at 06:30
Konrad Curze the Legendary Duelist had slain Tsabraen the drow wizard of fire#November 8, 2025 at 06:30
Konrad Curze the Legendary Duelist had slain Chaszree the drow monk#November 8, 2025 at 06:30
Konrad Curze the Legendary Duelist had slain Mazrim the ghost#November 8, 2025 at 06:29
Konrad Curze the Legendary Duelist had slain a fire beetle#November 8, 2025 at 06:29
Konrad Curze the Legendary Duelist had slain a lava elemental#November 8, 2025 at 06:29
Konrad Curze the Legendary Duelist had slain a fire elemental#November 8, 2025 at 06:29
Konrad Curze the Legendary Duelist had slain a fire steed#November 8, 2025 at 06:29
Konrad Curze the Legendary Duelist had slain a fire steed#November 8, 2025 at 06:29
Konrad Curze the Legendary Duelist had slain an ifreet#November 8, 2025 at 06:29
Konrad Curze the Legendary Duelist had slain a hell lion#November 8, 2025 at 06:29
Konrad Curze the Legendary Duelist had slain Alcidorin the lich lord#November 8, 2025 at 06:29
Konrad Curze the Legendary Duelist had slain Onymah the lich lord#November 8, 2025 at 06:28
Konrad Curze the Legendary Duelist had slain a vulrachnid#November 8, 2025 at 06:28
Konrad Curze the Legendary Duelist had slain a vulrachnid#November 8, 2025 at 06:28
Konrad Curze the Legendary Duelist had slain a vulrachnid#November 8, 2025 at 06:28
Konrad Curze the Legendary Duelist had slain a vulrachnid#November 8, 2025 at 06:28
Konrad Curze the Legendary Duelist had slain a skeletal pyromancer#November 8, 2025 at 06:28
Konrad Curze the Legendary Duelist had slain an ifreet#November 8, 2025 at 06:28
Konrad Curze the Legendary Duelist had slain a hell lion#November 8, 2025 at 06:28
Konrad Curze the Legendary Duelist had slain a skeletal pyromancer#November 8, 2025 at 06:27
Konrad Curze the Legendary Duelist had slain an ifreet#November 8, 2025 at 06:27
Konrad Curze the Legendary Duelist had slain Vorgol the baron of flame#November 8, 2025 at 06:27
Konrad Curze the Legendary Duelist had slain Vorgol the baron of flame#November 8, 2025 at 06:27
Konrad Curze the Legendary Duelist had slain an undead flamecaster#November 8, 2025 at 06:26
Konrad Curze the Legendary Duelist had slain a magma snake#November 8, 2025 at 06:26
Konrad Curze the Legendary Duelist had slain a fire elemental#November 8, 2025 at 06:26
Konrad Curze the Legendary Duelist had slain a fire steed#November 8, 2025 at 06:26
Konrad Curze the Legendary Duelist had slain a skeletal pyromancer#November 8, 2025 at 06:26
Konrad Curze the Legendary Duelist had slain a lava elemental#November 8, 2025 at 06:26
Konrad Curze the Legendary Duelist had slain an ifreet#November 8, 2025 at 06:26
Konrad Curze the Legendary Duelist had slain a fire elemental#November 8, 2025 at 06:26
Sara the Titan of Ether had slain Amika the soul of azure#November 8, 2025 at 06:25
Konrad Curze the Legendary Duelist had slain Hactus the ancient lich#November 8, 2025 at 06:25
Konrad Curze the Legendary Duelist had slain a hell lion#November 8, 2025 at 06:25
Konrad Curze the Legendary Duelist had slain a hell hound#November 8, 2025 at 06:25
Konrad Curze the Legendary Duelist had slain an ifreet#November 8, 2025 at 06:25
Konrad Curze the Legendary Duelist had slain an undead flamecaster#November 8, 2025 at 06:24
Konrad Curze the Legendary Duelist had slain a lava elemental#November 8, 2025 at 06:24
Konrad Curze the Legendary Duelist had slain an undead flamecaster#November 8, 2025 at 06:24
Konrad Curze the Legendary Duelist had slain a fire beetle#November 8, 2025 at 06:24
Konrad Curze the Legendary Duelist had slain an undead flamecaster#November 8, 2025 at 06:24
Konrad Curze the Legendary Duelist had slain a fire steed#November 8, 2025 at 06:24
Konrad Curze the Legendary Duelist had slain a firebone warrior#November 8, 2025 at 06:24
Konrad Curze the Legendary Duelist had slain a firebone warrior#November 8, 2025 at 06:24
Konrad Curze the Legendary Duelist had slain a firebone warrior#November 8, 2025 at 06:24
Konrad Curze the Legendary Duelist had slain a firebone warrior#November 8, 2025 at 06:24
Konrad Curze the Legendary Duelist had slain a firebone warrior#November 8, 2025 at 06:24
Konrad Curze the Legendary Duelist had slain a firebone warrior#November 8, 2025 at 06:24
Konrad Curze the Legendary Duelist had slain a firebone warrior#November 8, 2025 at 06:24
Konrad Curze the Legendary Duelist had slain a firebone warrior#November 8, 2025 at 06:24
Konrad Curze the Legendary Duelist had slain a firebone warrior#November 8, 2025 at 06:24
Konrad Curze the Legendary Duelist had slain a firebone warrior#November 8, 2025 at 06:23
Konrad Curze the Legendary Duelist had slain a firebone warrior#November 8, 2025 at 06:23
Konrad Curze the Legendary Duelist had slain a firebone warrior#November 8, 2025 at 06:23
Konrad Curze the Legendary Duelist had slain a firebone warrior#November 8, 2025 at 06:23
Konrad Curze the Legendary Duelist had slain a firebone warrior#November 8, 2025 at 06:23
Konrad Curze the Legendary Duelist had slain a firebone warrior#November 8, 2025 at 06:23
Konrad Curze the Legendary Duelist had slain a firebone warrior#November 8, 2025 at 06:23
Konrad Curze the Legendary Duelist had slain a firebone warrior#November 8, 2025 at 06:23
Konrad Curze the Legendary Duelist had slain a firebone warrior#November 8, 2025 at 06:23
Konrad Curze the Legendary Duelist had slain an undead flamecaster#November 8, 2025 at 06:23
Konrad Curze the Legendary Duelist had slain a fire steed#November 8, 2025 at 06:23
Konrad Curze the Legendary Duelist had slain a fire beetle#November 8, 2025 at 06:23
Konrad Curze the Legendary Duelist had slain a fire steed#November 8, 2025 at 06:23
Konrad Curze the Legendary Duelist had slain an undead flamecaster#November 8, 2025 at 06:23
Konrad Curze the Legendary Duelist had slain a lava elemental#November 8, 2025 at 06:22
Konrad Curze the Legendary Duelist had slain an undead flamecaster#November 8, 2025 at 06:22
Konrad Curze the Legendary Duelist had slain a fire steed#November 8, 2025 at 06:22
Konrad Curze the Legendary Duelist had slain a fire steed#November 8, 2025 at 06:22
Konrad Curze the Legendary Duelist had slain a hell lion#November 8, 2025 at 06:22
Sara the Titan of Ether had slain Ghilong the ancient wyrm#November 8, 2025 at 06:22
Konrad Curze the Legendary Duelist had slain a hell lion#November 8, 2025 at 06:22
Konrad Curze the Legendary Duelist had slain a magma snake#November 8, 2025 at 06:22
Konrad Curze the Legendary Duelist had slain a fire beetle#November 8, 2025 at 06:21
Konrad Curze the Legendary Duelist had slain a magma snake#November 8, 2025 at 06:21
Konrad Curze the Legendary Duelist had slain a fire beetle#November 8, 2025 at 06:21
Konrad Curze the Legendary Duelist had slain a hell lion#November 8, 2025 at 06:21
Sara the Titan of Ether had slain a fire elemental#November 8, 2025 at 06:21
Sara the Titan of Ether had slain a drake#November 8, 2025 at 06:21
Konrad Curze the Legendary Duelist had slain a fire steed#November 8, 2025 at 06:21
Konrad Curze the Legendary Duelist had slain a hell lion#November 8, 2025 at 06:21
Konrad Curze the Legendary Duelist had slain a hell hound#November 8, 2025 at 06:21
Konrad Curze the Legendary Duelist had slain a fire beetle#November 8, 2025 at 06:21
Sara the Titan of Ether had slain a bone knight#November 8, 2025 at 06:19
Sara the Titan of Ether had slain a rosescale dragon#November 8, 2025 at 06:19
Konrad Curze the Legendary Duelist had slain Hydra of Xetes#November 8, 2025 at 06:17
Sara the Titan of Ether had slain a bone knight#November 8, 2025 at 06:10
Sara the Titan of Ether had slain a lava elemental#November 8, 2025 at 06:10
Sara the Titan of Ether had slain a verite dragon#November 8, 2025 at 06:10
Sara the Titan of Ether had slain a drake#November 8, 2025 at 06:09
Sara the Titan of Ether had slain a bone knight#November 8, 2025 at 06:09
Sara the Titan of Ether had slain an efreet#November 8, 2025 at 06:09
Konrad Curze the Legendary Duelist had slain Moloch the fiend#November 8, 2025 at 03:57
Konrad Curze the Legendary Duelist had slain Clitheret the fiend#November 8, 2025 at 03:57
Konrad Curze the Legendary Duelist had slain Minna the brass monk#November 8, 2025 at 03:57
Konrad Curze the Legendary Duelist had slain Tadal the archfiend#November 8, 2025 at 03:56
Konrad Curze the Legendary Duelist had slain a wax golem#November 8, 2025 at 03:54
Konrad Curze the Legendary Duelist had slain a wax golem#November 8, 2025 at 03:54
Konrad Curze the Legendary Duelist had slain a wax golem#November 8, 2025 at 03:54
Konrad Curze the Legendary Duelist had slain a wax golem#November 8, 2025 at 03:54
Konrad Curze the Legendary Duelist had slain a marble statue#November 8, 2025 at 03:54
Konrad Curze the Legendary Duelist had slain Gitana the fighter#November 8, 2025 at 03:54
Konrad Curze the Legendary Duelist had slain Nazgula the conjurer of fire#November 8, 2025 at 03:54
Konrad Curze the Legendary Duelist had slain a skeletal knight#November 8, 2025 at 03:54
Konrad Curze the Legendary Duelist had slain an apparition#November 8, 2025 at 03:54
Konrad Curze the Legendary Duelist had slain an earth elemental#November 8, 2025 at 03:53
