Sara the Titan of Ether entered Dungeon Doom#November 8, 2025 at 06:56
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:56
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 06:56
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 06:56
Darknos the Grandmaster Swordsman entered the City of Britain#November 8, 2025 at 06:53
Menelif the Elder Elementalist entered the Serpent Island#November 8, 2025 at 06:52
Menelif the Elder Elementalist entered Dungeon Wicked#November 8, 2025 at 06:52
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:51
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 06:51
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 06:51
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:51
Menelif the Elder Elementalist entered the Serpent Island#November 8, 2025 at 06:51
Menelif the Elder Elementalist entered Mountainside Cavern#November 8, 2025 at 06:50
Sara the Titan of Ether entered the Thieves Guild#November 8, 2025 at 06:50
Sara the Titan of Ether entered the Cabin#November 8, 2025 at 06:50
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:50
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 06:50
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 06:50
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:49
Sara the Titan of Ether entered the Thieves Guild#November 8, 2025 at 06:48
Sara the Titan of Ether entered the Cabin#November 8, 2025 at 06:48
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:48
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 06:47
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 06:47
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:46
Konrad Curze the Legendary Duelist entered the Thieves Guild#November 8, 2025 at 06:45
Konrad Curze the Legendary Duelist entered the Cabin#November 8, 2025 at 06:45
Menelif the Elder Elementalist entered the Serpent Island#November 8, 2025 at 06:45
Konrad Curze the Legendary Duelist entered the Land of Sosaria#November 8, 2025 at 06:44
Menelif the Elder Elementalist entered the Great Plain Cave#November 8, 2025 at 06:44
Konrad Curze the Legendary Duelist entered the Land of Lodoria#November 8, 2025 at 06:44
Konrad Curze the Legendary Duelist entered the Land of Sosaria#November 8, 2025 at 06:43
Konrad Curze the Legendary Duelist entered the City of Britain#November 8, 2025 at 06:43
Menelif the Elder Elementalist entered the Serpent Island#November 8, 2025 at 06:42
Menelif the Elder Elementalist entered the Great Plain Cave#November 8, 2025 at 06:42
Menelif the Elder Elementalist entered the Serpent Island#November 8, 2025 at 06:42
Menelif the Elder Elementalist entered the Sosarian Pass#November 8, 2025 at 06:42
Menelif the Elder Elementalist entered the Serpent Island#November 8, 2025 at 06:41
Menelif the Elder Elementalist entered the Sosarian Pass#November 8, 2025 at 06:40
Menelif the Elder Elementalist entered the Serpent Pass#November 8, 2025 at 06:40
Menelif the Elder Elementalist entered the Tower#November 8, 2025 at 06:39
Menelif the Elder Elementalist entered the Island of Umber Veil#November 8, 2025 at 06:39
Menelif the Elder Elementalist entered the Tower#November 8, 2025 at 06:39
Konrad Curze the Legendary Duelist entered the Land of Sosaria#November 8, 2025 at 06:38
Konrad Curze the Legendary Duelist entered the Land of Sosaria#November 8, 2025 at 06:38
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:38
Menelif the Elder Elementalist entered the Island of Umber Veil#November 8, 2025 at 06:37
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 06:37
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 06:37
Menelif the Elder Elementalist entered the Town of Renika#November 8, 2025 at 06:37
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:37
Menelif the Elder Elementalist entered the Land of Sosaria#November 8, 2025 at 06:36
Menelif the Elder Elementalist entered the Graveyard#November 8, 2025 at 06:36
Menelif the Elder Elementalist entered the Land of Sosaria#November 8, 2025 at 06:36
Menelif the Elder Elementalist entered the Graveyard#November 8, 2025 at 06:36
Konrad Curze the Legendary Duelist entered the City of Embers#November 8, 2025 at 06:36
Konrad Curze the Legendary Duelist entered the Land of Lodoria#November 8, 2025 at 06:36
Menelif the Elder Elementalist entered the Land of Sosaria#November 8, 2025 at 06:36
Menelif the Elder Elementalist entered the Graveyard#November 8, 2025 at 06:36
Menelif the Elder Elementalist entered the Land of Sosaria#November 8, 2025 at 06:36
Menelif the Elder Elementalist entered the Graveyard#November 8, 2025 at 06:36
Menelif the Elder Elementalist entered the Land of Sosaria#November 8, 2025 at 06:35
Lisa the Grandmistress Merchant entered the Land of Sosaria#November 8, 2025 at 06:34
Lisa the Grandmistress Merchant entered the City of Britain#November 8, 2025 at 06:34
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 06:34
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 06:33
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 06:33
