Menelif the Elder Elementalist had slain Verthag the orc warrior#November 8, 2025 at 07:29
Menelif the Elder Elementalist had slain a sand vortex#November 8, 2025 at 07:29
Sara the Titan of Ether had slain an ancient sphinx#November 8, 2025 at 07:29
Menelif the Elder Elementalist had slain an anhkheg#November 8, 2025 at 07:29
Sara the Titan of Ether had slain a royal sphinx#November 8, 2025 at 07:28
Sara the Titan of Ether had slain an iguanodon#November 8, 2025 at 07:28
Sara the Titan of Ether had slain a manticore#November 8, 2025 at 07:28
Menelif the Elder Elementalist had slain a dust elemental#November 8, 2025 at 07:27
Menelif the Elder Elementalist had slain a sand vortex#November 8, 2025 at 07:27
Sara the Titan of Ether had slain Assoaz the agapite balrog of the deep#November 8, 2025 at 07:10
Sara the Titan of Ether had slain a hell lion#November 8, 2025 at 07:10
Sara the Titan of Ether had slain a hell hound#November 8, 2025 at 07:09
Sara the Titan of Ether had slain a hell hound#November 8, 2025 at 07:09
Sara the Titan of Ether had slain a hell hound#November 8, 2025 at 07:09
Sara the Titan of Ether had slain a succubus#November 8, 2025 at 07:09
Sara the Titan of Ether had slain a succubus#November 8, 2025 at 07:08
Sara the Titan of Ether had slain a succubus#November 8, 2025 at 07:08
Sara the Titan of Ether had slain a hell hound#November 8, 2025 at 07:08
Sara the Titan of Ether had slain a hell lion#November 8, 2025 at 07:08
Sara the Titan of Ether had slain a hell hound#November 8, 2025 at 07:07
Sara the Titan of Ether had slain a hell lion#November 8, 2025 at 07:07
Sara the Titan of Ether had slain a hell cat#November 8, 2025 at 07:07
Sara the Titan of Ether had slain a hell cat#November 8, 2025 at 07:07
Sara the Titan of Ether had slain Agymi the ork conjurer of elements#November 8, 2025 at 07:03
Sara the Titan of Ether had slain Sergulath the velvet balron of the deep#November 8, 2025 at 07:03
Sara the Titan of Ether had slain Subira the ork witch of the ork sea#November 8, 2025 at 07:02
Sara the Titan of Ether had slain Khalduh the ork mage of death#November 8, 2025 at 07:02
Menelif the Elder Elementalist had slain Hydra of Brou#November 8, 2025 at 07:01
Sara the Titan of Ether had slain Tapis the ork mage of hysteria#November 8, 2025 at 07:01
Sara the Titan of Ether had slain Zari the ork magician of the ork lake#November 8, 2025 at 07:01
Sara the Titan of Ether had slain Maforose the ork monk#November 8, 2025 at 07:01
Sara the Titan of Ether had slain Tapis the ork monk#November 8, 2025 at 07:01
Sara the Titan of Ether had slain Ebirah the ork vanquisher#November 8, 2025 at 07:01
Menelif the Elder Elementalist had slain a sand squid#November 8, 2025 at 07:01
Menelif the Elder Elementalist had slain Chetak the ratman#November 8, 2025 at 07:00
Menelif the Elder Elementalist had slain a mummy#November 8, 2025 at 07:00
Sara the Titan of Ether had slain Agymek the ork sorcerer of madness#November 8, 2025 at 07:00
Menelif the Elder Elementalist had slain a large crab#November 8, 2025 at 06:59
Menelif the Elder Elementalist had slain a giant crab#November 8, 2025 at 06:59
Sara the Titan of Ether had slain Esheemah the ork sorceress of frost#November 8, 2025 at 06:59
Sara the Titan of Ether had slain Esila the ork amazon#November 8, 2025 at 06:59
Menelif the Elder Elementalist had slain a sand vortex#November 8, 2025 at 06:58
