Konrad Curze the Legendary Duelist had slain Moloch the fiend#November 8, 2025 at 03:57
Konrad Curze the Legendary Duelist had slain Clitheret the fiend#November 8, 2025 at 03:57
Konrad Curze the Legendary Duelist had slain Minna the brass monk#November 8, 2025 at 03:57
Konrad Curze the Legendary Duelist had slain Tadal the archfiend#November 8, 2025 at 03:56
Konrad Curze the Legendary Duelist had slain a wax golem#November 8, 2025 at 03:54
Konrad Curze the Legendary Duelist had slain a wax golem#November 8, 2025 at 03:54
Konrad Curze the Legendary Duelist had slain a wax golem#November 8, 2025 at 03:54
Konrad Curze the Legendary Duelist had slain a wax golem#November 8, 2025 at 03:54
Konrad Curze the Legendary Duelist had slain a marble statue#November 8, 2025 at 03:54
Konrad Curze the Legendary Duelist had slain Gitana the fighter#November 8, 2025 at 03:54
Konrad Curze the Legendary Duelist had slain Nazgula the conjurer of fire#November 8, 2025 at 03:54
Konrad Curze the Legendary Duelist had slain a skeletal knight#November 8, 2025 at 03:54
Konrad Curze the Legendary Duelist had slain an apparition#November 8, 2025 at 03:54
Konrad Curze the Legendary Duelist had slain an earth elemental#November 8, 2025 at 03:53
Konrad Curze the Legendary Duelist had slain a bronze elemental#November 8, 2025 at 03:53
Konrad Curze the Legendary Duelist had slain Daelon the wizard of the flame#November 8, 2025 at 03:53
Konrad Curze the Legendary Duelist had slain Gragusa the magician of flame#November 8, 2025 at 03:53
Konrad Curze the Legendary Duelist had slain an earth elemental#November 8, 2025 at 03:53
Konrad Curze the Legendary Duelist had slain Varsana the magician of the flame#November 8, 2025 at 03:53
Konrad Curze the Legendary Duelist had slain an agapite elemental#November 8, 2025 at 03:53
Konrad Curze the Legendary Duelist had slain Akris the sorcerer of flame#November 8, 2025 at 03:53
Konrad Curze the Legendary Duelist had slain Morturus the sorcerer of flame#November 8, 2025 at 03:53
Konrad Curze the Legendary Duelist had slain Bazeriona the conjurer of the flame#November 8, 2025 at 03:53
Konrad Curze the Legendary Duelist had slain a valorite elemental#November 8, 2025 at 03:53
Konrad Curze the Legendary Duelist had slain Hatshepsunet of the Nine Hells#November 8, 2025 at 03:48
Konrad Curze the Legendary Duelist had slain a magma elemental#November 8, 2025 at 03:48
