##############################
Log started on 10/31/2025 10:25:00 AM

10/31/2025 10:25:48 AM: : Owner 0x152C3 "NickCage" ('Admin') used command 'buildworld '
10/31/2025 10:36:44 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'corpseclear '
10/31/2025 10:37:11 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'elementtool2 '
10/31/2025 10:37:11 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'elementclose2 '
10/31/2025 10:37:11 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'elementtool2 '
10/31/2025 10:37:16 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'elementclose2 '
10/31/2025 10:38:30 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'sad '
10/31/2025 10:42:37 AM: 179.191.139.13: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'c '
10/31/2025 10:42:40 AM: 179.191.139.13: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'sad '
10/31/2025 10:44:52 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'admin '
10/31/2025 10:45:42 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:42 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:43 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:44 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:45 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:45 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:45 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:46 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:46 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:46 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:46 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:47 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:47 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:47 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:47 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:47 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:48 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:48 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:48 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:48 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:48 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:49 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:49 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:49 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:49 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:50 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:50 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:50 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:51 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:51 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:51 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:51 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:52 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:53 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:53 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:53 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:53 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:54 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:54 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:54 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:54 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:56 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:56 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:56 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:57 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:57 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:45:58 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:46:01 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:46:10 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'admin '
10/31/2025 10:46:27 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:46:27 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:46:28 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:46:28 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:46:28 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:46:30 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:46:30 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:46:30 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:46:30 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:46:31 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:46:31 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:46:31 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:46:31 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:46:32 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:46:32 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 10:46:35 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
10/31/2025 11:11:08 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esteed '
10/31/2025 11:26:59 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esteed '
10/31/2025 11:27:00 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esteed '
10/31/2025 11:38:52 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esteed '
10/31/2025 11:42:58 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
10/31/2025 11:42:59 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
10/31/2025 11:43:03 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
10/31/2025 11:43:05 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
10/31/2025 11:43:07 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
10/31/2025 11:43:18 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
10/31/2025 11:43:23 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
10/31/2025 11:43:26 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
10/31/2025 11:43:30 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
10/31/2025 11:43:35 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
10/31/2025 11:43:39 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
