##############################
Log started on 10/18/2025 3:25:31 AM

10/18/2025 3:26:12 AM: : Owner 0x152C3 "NickCage" ('Admin') used command 'buildworld '
10/18/2025 3:26:51 AM: 187.110.208.198: Owner 0x1 "Dungeon Master" ('Admin') used command 'add kongo'
10/18/2025 3:26:56 AM: 187.110.208.198: Owner 0x1 "Dungeon Master" ('Admin') building at (2992, 998, 0) in Sosaria: "LevelWarHammerKongor"
10/18/2025 3:26:56 AM: 187.110.208.198: Serials: 0x400AA965; 
10/18/2025 3:27:02 AM: 187.110.208.198: Owner 0x1 "Dungeon Master" ('Admin') used command 'props '
10/18/2025 3:27:10 AM: 187.110.208.198: Owner 0x1 "Dungeon Master" ('Admin') set property 'Level' of 0x400AA965 (LevelWarHammerKongor) to '100'
10/18/2025 3:37:25 AM: 187.110.208.198: Owner 0x1 "Dungeon Master" ('Admin') used command 'add bladed'
10/18/2025 3:37:52 AM: 187.110.208.198: Owner 0x1 "Dungeon Master" ('Admin') building at (2991, 998, 0) in Sosaria: "LevelDoubleBladedStaffMoonDancer"
10/18/2025 3:37:52 AM: 187.110.208.198: Serials: 0x400B01DB; 
10/18/2025 3:38:04 AM: 187.110.208.198: Owner 0x1 "Dungeon Master" ('Admin') building at (2991, 998, 0) in Sosaria: "LevelNoDachiMasamune"
10/18/2025 3:38:04 AM: 187.110.208.198: Serials: 0x400B02AC; 
10/18/2025 3:38:20 AM: 187.110.208.198: Owner 0x1 "Dungeon Master" ('Admin') used command 'admin '
10/18/2025 3:38:22 AM: 187.110.208.198: Owner 0x1 "Dungeon Master" ('Admin') used command 'add '
10/18/2025 3:38:26 AM: 187.110.208.198: Owner 0x1 "Dungeon Master" ('Admin') used command 'add dragonb'
10/18/2025 3:38:29 AM: 187.110.208.198: Owner 0x1 "Dungeon Master" ('Admin') building at (2991, 998, 0) in Sosaria: "LevelElvenCompositeLongbowDragonBane"
10/18/2025 3:38:29 AM: 187.110.208.198: Serials: 0x400B0529; 
10/18/2025 3:38:36 AM: 187.110.208.198: Owner 0x1 "Dungeon Master" ('Admin') used command 'props '
10/18/2025 3:38:44 AM: 187.110.208.198: Owner 0x1 "Dungeon Master" ('Admin') set property 'Level' of 0x400B01DB (LevelDoubleBladedStaffMoonDancer) to '100'
10/18/2025 3:41:42 AM: 187.110.208.198: Owner 0x1 "Dungeon Master" ('Admin') used command 'props '
10/18/2025 3:41:51 AM: 187.110.208.198: Owner 0x1 "Dungeon Master" ('Admin') set property 'Level' of 0x400B02AC (LevelNoDachiMasamune) to '100'
10/18/2025 3:48:29 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'c '
10/18/2025 3:51:15 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'c '
10/18/2025 3:54:55 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'c '
10/18/2025 3:54:56 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'c '
10/18/2025 3:59:59 AM: 187.110.208.198: Player 0x15606 "AndreOfAstora" ('bidogo') used command 'c '
10/18/2025 4:02:04 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'c '
10/18/2025 4:13:07 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'elementtool1 '
10/18/2025 4:13:07 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'elementtool2 '
10/18/2025 4:14:44 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'elementtool1 '
10/18/2025 4:18:50 AM: 187.110.208.198: Player 0xD2FE0 "DeathspeakerDarq" ('bidogoz') used command 'c '
10/18/2025 4:20:37 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'eprotection '
10/18/2025 4:20:40 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'eprotection '
10/18/2025 4:29:28 AM: 187.110.208.198: Player 0x5E875 "Talantyr" ('bidogozor') used command 'c '
10/18/2025 4:55:59 AM: 187.110.208.198: Player 0xD2FE0 "DeathspeakerDarq" ('bidogoz') used command 'c '
10/18/2025 4:56:26 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 4:57:00 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 4:57:45 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 4:59:22 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 4:59:27 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 4:59:29 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 4:59:31 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:01:01 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:01:34 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:01:45 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:01:47 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:01:48 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:01:50 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:01:52 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:02:36 AM: 187.110.208.198: Player 0xD2FE0 "DeathspeakerDarq" ('bidogoz') used command 'c '
10/18/2025 5:02:41 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:03:21 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:04:03 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:04:43 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:05:00 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:05:04 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set4 '
10/18/2025 5:05:06 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:05:10 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:05:11 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:05:15 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:05:42 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:05:46 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set4 '
10/18/2025 5:06:13 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:07:21 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:07:27 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:07:59 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:08:01 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:08:11 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:08:17 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:08:19 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:08:25 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:08:43 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:10:45 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:10:49 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set4 '
10/18/2025 5:11:07 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:11:13 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:11:26 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:11:29 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:11:31 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:11:33 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:12:00 AM: 179.125.228.104: Player 0x106E10 "Tito Monado" ('fella2') used command 'c '
10/18/2025 5:12:47 AM: 179.125.228.104: Player 0x106E10 "Tito Monado" ('fella2') used command 'c '
10/18/2025 5:13:42 AM: 187.110.208.198: Player 0x15606 "AndreOfAstora" ('bidogo') used command 'c '
10/18/2025 5:15:49 AM: 179.125.228.104: Player 0x106E10 "Tito Monado" ('fella2') used command 'c '
10/18/2025 5:19:56 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:21:20 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:22:00 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:22:01 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:22:03 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:22:04 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:22:06 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:22:07 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:22:09 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:22:39 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:22:41 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set4 '
10/18/2025 5:22:43 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set2 '
10/18/2025 5:22:45 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:22:46 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:22:48 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 5:24:27 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'wealth '
10/18/2025 5:27:57 AM: 179.125.228.104: Player 0x1487F "Dan Ousi" ('fella3') used command 'c '
10/18/2025 5:27:59 AM: 179.125.228.104: Player 0x1487F "Dan Ousi" ('fella3') used command 'skilllist '
10/18/2025 5:40:45 AM: 179.125.228.104: Player 0x1487F "Dan Ousi" ('fella3') used command 'c '
10/18/2025 5:40:51 AM: 187.110.208.198: Player 0x5E875 "Talantyr" ('bidogozor') used command 'c '
10/18/2025 5:51:20 AM: 179.125.228.104: Player 0x1487F "Dan Ousi" ('fella3') used command 'c '
10/18/2025 5:57:09 AM: 187.110.208.198: Player 0xD2FE0 "DeathspeakerDarq" ('bidogoz') used command 'e '
10/18/2025 5:57:58 AM: 187.110.208.198: Player 0xD2FE0 "DeathspeakerDarq" ('bidogoz') used command 'skilllist '
10/18/2025 5:58:22 AM: 187.110.208.198: Player 0xD2FE0 "DeathspeakerDarq" ('bidogoz') used command 'showskillgainchance '
10/18/2025 6:03:47 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 6:04:40 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 6:05:34 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set4 '
10/18/2025 6:06:13 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 6:07:08 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 6:07:55 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 6:08:14 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 6:08:18 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 6:08:21 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set4 '
10/18/2025 6:09:36 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 6:09:41 AM: 179.125.228.104: Player 0x1487F "Dan Ousi" ('fella3') used command 'set5 '
10/18/2025 6:09:44 AM: 179.125.228.104: Player 0x1487F "Dan Ousi" ('fella3') used command 'set4 '
10/18/2025 6:09:58 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 6:10:05 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set4 '
10/18/2025 6:10:18 AM: 179.125.228.104: Player 0x1487F "Dan Ousi" ('fella3') used command 'poisons '
10/18/2025 6:10:49 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 6:10:51 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set4 '
10/18/2025 6:11:50 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 6:12:33 AM: 179.125.228.104: Player 0x1487F "Dan Ousi" ('fella3') used command 'c '
