##############################
Log started on 11/2/2025 1:13:17 AM

11/2/2025 1:14:04 AM: : Owner 0x152C3 "NickCage" ('Admin') used command 'buildworld '
11/2/2025 1:18:06 AM: 179.191.139.13: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'c '
11/2/2025 1:49:59 AM: 179.191.139.13: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'c '
11/2/2025 2:21:56 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'elementtool1 '
11/2/2025 2:21:57 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'elementtool2 '
11/2/2025 2:36:52 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'evoid '
11/2/2025 2:36:58 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'evoid '
11/2/2025 2:37:03 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'evoid '
11/2/2025 2:37:56 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
11/2/2025 2:37:57 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
11/2/2025 2:37:57 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
11/2/2025 2:37:57 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
11/2/2025 2:39:16 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
11/2/2025 2:39:16 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
11/2/2025 2:39:16 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
11/2/2025 2:39:21 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'eprotection '
11/2/2025 2:41:39 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
11/2/2025 2:41:39 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
11/2/2025 2:42:52 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
11/2/2025 3:05:14 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'evoid '
11/2/2025 3:45:37 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'evoid '
11/2/2025 3:46:53 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'evoid '
11/2/2025 3:50:45 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'evoid '
11/2/2025 3:51:06 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'evoid '
11/2/2025 3:51:36 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'evoid '
11/2/2025 3:56:35 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'evoid '
11/2/2025 3:56:56 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'evoid '
11/2/2025 4:01:52 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'evoid '
11/2/2025 4:02:01 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'evoid '
11/2/2025 4:02:19 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'evoid '
11/2/2025 4:41:10 AM: 186.213.122.206: Player 0x1C6B1 "Dusekkar" ('craft') used command 'magetool1 '
11/2/2025 4:50:01 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set1 '
11/2/2025 4:50:04 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
11/2/2025 4:50:15 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set4 '
11/2/2025 4:50:16 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
11/2/2025 4:50:23 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
11/2/2025 4:50:27 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
11/2/2025 4:50:52 AM: 186.213.122.206: Player 0x1C6B1 "Dusekkar" ('craft') used command 'magetool1 '
11/2/2025 4:51:40 AM: 186.213.122.206: Player 0x1C6B1 "Dusekkar" ('craft') used command 'myhunger '
11/2/2025 4:52:30 AM: 186.213.122.206: Player 0x1C6B1 "Dusekkar" ('craft') used command 'myhunger '
11/2/2025 4:53:20 AM: 186.213.122.206: Player 0x1C6B1 "Dusekkar" ('craft') used command 'myhunger '
11/2/2025 4:54:10 AM: 186.213.122.206: Player 0x1C6B1 "Dusekkar" ('craft') used command 'myhunger '
11/2/2025 4:56:11 AM: 186.213.122.206: Player 0x1C6B1 "Dusekkar" ('craft') used command 'myhunger '
11/2/2025 4:56:47 AM: 186.213.122.206: Player 0x1C6B1 "Dusekkar" ('craft') used command 'magetool1 '
11/2/2025 4:57:01 AM: 186.213.122.206: Player 0x1C6B1 "Dusekkar" ('craft') used command 'myhunger '
11/2/2025 4:57:51 AM: 186.213.122.206: Player 0x1C6B1 "Dusekkar" ('craft') used command 'myhunger '
