##############################
Log started on 10/26/2025 11:23:45 AM

10/26/2025 11:24:20 AM: : Owner 0x152C3 "NickCage" ('Admin') used command 'buildworld '
10/26/2025 11:32:09 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'evoid '
10/26/2025 11:32:45 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'evoid '
10/26/2025 11:33:33 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'evoid '
10/26/2025 11:37:22 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'evoid '
10/26/2025 11:37:40 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'evoid '
10/26/2025 11:38:08 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esanctuary '
10/26/2025 11:38:09 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esanctuary '
10/26/2025 11:38:09 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esanctuary '
10/26/2025 11:38:21 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esanctuary '
10/26/2025 11:38:21 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esanctuary '
10/26/2025 11:38:25 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esanctuary '
10/26/2025 11:38:26 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esanctuary '
10/26/2025 11:40:10 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
10/26/2025 11:40:10 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
10/26/2025 11:40:15 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
10/26/2025 11:40:15 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
10/26/2025 11:40:21 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'eprotection '
10/26/2025 11:41:02 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'elementtool1 '
10/26/2025 11:41:02 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'elementtool2 '
10/26/2025 11:45:57 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
10/26/2025 11:45:57 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
10/26/2025 11:45:58 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
10/26/2025 11:45:58 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
10/26/2025 11:46:02 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
10/26/2025 11:46:03 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
10/26/2025 11:46:03 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
10/26/2025 11:46:03 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
10/26/2025 11:46:08 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
10/26/2025 11:46:08 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
10/26/2025 11:46:08 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
10/26/2025 11:46:09 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
10/26/2025 11:46:09 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'esoul '
10/26/2025 11:50:32 AM: 138.117.126.240: Player 0xD2FE0 "DeathspeakerDarq" ('bidogoz') used command 'c '
10/26/2025 11:53:04 AM: 82.64.104.56: Player 0x135B3 "Sara" ('sara') used command 'evoid '
10/26/2025 12:05:28 PM: 186.213.124.222: Player 0x1C6B1 "Dusekkar" ('craft') used command 'c '
10/26/2025 12:06:10 PM: 186.213.124.222: Player 0x1C6B1 "Dusekkar" ('craft') used command 'myhunger '
10/26/2025 12:07:00 PM: 186.213.124.222: Player 0x1C6B1 "Dusekkar" ('craft') used command 'myhunger '
10/26/2025 12:09:57 PM: 138.117.126.240: Player 0xD2FE0 "DeathspeakerDarq" ('bidogoz') used command 'c '
