##############################
Log started on 10/23/2025 3:00:24 AM

10/23/2025 3:01:04 AM: : Owner 0x152C3 "NickCage" ('Admin') used command 'buildworld '
10/23/2025 3:14:20 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 3:14:22 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 3:14:23 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 3:14:25 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 3:14:27 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 3:14:30 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 3:14:31 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 3:14:32 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 3:14:34 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 3:14:36 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 3:14:38 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 3:14:39 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 3:14:40 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 3:14:42 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 3:14:43 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 3:14:45 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 3:14:47 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 3:14:48 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 3:14:50 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 3:14:51 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 3:14:53 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 3:14:54 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 3:14:56 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 3:14:58 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 3:14:59 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 3:31:43 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'wealth '
10/23/2025 3:32:25 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'c '
10/23/2025 3:41:49 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'c '
10/23/2025 3:50:08 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'c '
10/23/2025 3:50:18 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 3:56:55 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'c '
10/23/2025 4:03:07 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:03:10 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:03:14 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:03:18 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:03:22 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 4:03:25 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:03:28 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:03:29 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:03:32 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:03:37 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 4:03:49 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:03:57 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:04:01 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:04:03 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:04:08 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:04:09 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:04:11 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:04:22 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:04:24 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:04:34 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:04:35 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:04:37 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:04:46 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:04:48 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 4:04:50 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:04:52 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 4:04:54 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:04:59 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:05:08 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:05:11 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:05:12 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:05:27 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 4:05:29 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 4:05:31 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 4:05:32 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 4:05:33 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set3 '
10/23/2025 4:05:53 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:05:55 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:05:56 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:05:57 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:06:02 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
10/23/2025 4:06:03 AM: 170.245.103.164: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set1 '
