##############################
Log started on 11/5/2025 1:14:28 AM

11/5/2025 1:15:17 AM: : Owner 0x152C3 "NickCage" ('Admin') used command 'buildworld '
11/5/2025 1:28:44 AM: 179.191.139.13: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'set4 '
11/5/2025 2:51:34 AM: 186.218.61.27: Player 0x1C6B1 "Dusekkar" ('craft') used command 'c '
11/5/2025 3:47:34 AM: 179.191.139.13: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'c '
11/5/2025 4:50:00 AM: 179.191.139.13: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'c '
11/5/2025 4:50:03 AM: 179.191.139.13: Player 0x18B74 "Konrad Curze" ('bidogs') used command 'c '
11/5/2025 4:54:50 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
11/5/2025 4:54:51 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
11/5/2025 4:54:55 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'allspells '
11/5/2025 4:54:56 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') filling spellbook 0x4010D41D (Spellbook)
11/5/2025 4:54:57 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
11/5/2025 4:55:02 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'admin '
11/5/2025 4:55:18 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
11/5/2025 4:55:19 AM: 179.191.139.13: Owner 0x1 "Dungeon Master" ('Admin') used command 'teleport '
11/5/2025 5:45:41 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:45:45 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
11/5/2025 5:45:47 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
11/5/2025 5:45:56 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esteed '
11/5/2025 5:46:23 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:46:29 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:46:33 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
11/5/2025 5:46:35 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebarrage '
11/5/2025 5:46:38 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 5:46:40 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 5:46:42 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:46:43 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:46:44 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:46:49 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:46:54 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:46:55 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:47:01 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'erestoration '
11/5/2025 5:47:07 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 5:47:09 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 5:47:11 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 5:47:13 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 5:47:15 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 5:47:18 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 5:47:19 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:47:19 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:47:20 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:47:24 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:47:32 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'epurge '
11/5/2025 5:47:34 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'epurge '
11/5/2025 5:47:36 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'erestoration '
11/5/2025 5:47:41 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 5:47:43 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 5:47:45 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 5:47:47 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 5:47:48 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:47:49 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:47:49 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:47:49 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:47:53 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 5:47:54 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 5:47:56 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 5:47:56 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:47:57 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:48:00 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:48:07 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'epurge '
11/5/2025 5:48:07 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'epurge '
11/5/2025 5:48:08 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'epurge '
11/5/2025 5:48:09 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'epurge '
11/5/2025 5:48:10 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'epurge '
11/5/2025 5:48:14 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:48:14 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:48:15 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:48:16 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:48:17 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:48:23 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 5:48:26 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'ebolt '
11/5/2025 5:48:27 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:50:58 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:51:10 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
11/5/2025 5:51:24 AM: 177.37.153.13: Player 0x41D8D "Menelif" ('menelif') used command 'esummon '
