Sara the Titan of Ether entered Dungeon Clues#November 8, 2025 at 08:02
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 08:02
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 08:02
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 08:02
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 08:02
AndreOfAstora Trabalhador Autonomo entered the Land of Sosaria#November 8, 2025 at 08:00
DeathspeakerDarq The Dark Knight entered the Land of Sosaria#November 8, 2025 at 08:00
DeathspeakerDarq The Dark Knight entered the Land of Sosaria#November 8, 2025 at 08:00
Sara the Titan of Ether entered Dungeon Doom#November 8, 2025 at 07:59
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 07:59
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 07:58
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 07:58
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 07:58
Sara the Titan of Ether entered the Cave of the Zuluu#November 8, 2025 at 07:53
Sara the Titan of Ether entered the Land of Ambrosia#November 8, 2025 at 07:53
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 07:51
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 07:51
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 07:50
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 07:50
Armoti the Elder Skulker entered the Land of Sosaria#November 8, 2025 at 07:48
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 07:47
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 07:47
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 07:47
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 07:47
Armoti the Elder Skulker entered the City of Britain#November 8, 2025 at 07:47
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 07:46
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 07:46
Menelif the Elder Elementalist entered the Land of Sosaria#November 8, 2025 at 07:46
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 07:46
Menelif the Elder Elementalist entered the Bank of Britain#November 8, 2025 at 07:45
Menelif the Elder Elementalist entered the City of Britain#November 8, 2025 at 07:44
Menelif the Elder Elementalist entered the Town of Renika#November 8, 2025 at 07:44
Lisa the Grandmistress Merchant entered the Bank of Britain#November 8, 2025 at 07:44
Menelif the Elder Elementalist entered the Bank of Britain#November 8, 2025 at 07:44
Menelif the Elder Elementalist entered the City of Britain#November 8, 2025 at 07:44
Menelif the Elder Elementalist entered the Village of Fawn#November 8, 2025 at 07:43
